"model","framework","seconds"
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0290000000000106
"Dynamic Occupancy","unmarked",0.0280000000000058
"Dynamic Occupancy","unmarked",0.0290000000000106
"Dynamic Occupancy","unmarked",0.0339999999999918
"Dynamic Occupancy","unmarked",0.0280000000000058
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0360000000000014
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0310000000000059
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.0270000000000152
"Dynamic Occupancy","unmarked",0.0320000000000107
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.0279999999999916
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0270000000000152
"Dynamic Occupancy","unmarked",0.0290000000000532
"Dynamic Occupancy","unmarked",0.0279999999999632
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0279999999999632
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0320000000000391
"Dynamic Occupancy","unmarked",0.0339999999999918
"Dynamic Occupancy","unmarked",0.0300000000000296
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0279999999999632
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0270000000000437
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0320000000000391
"Dynamic Occupancy","unmarked",0.0300000000000296
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0279999999999632
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0309999999999491
"Dynamic Occupancy","unmarked",0.0310000000000059
"Dynamic Occupancy","unmarked",0.0279999999999632
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.02800000000002
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0299999999999727
"Dynamic Occupancy","unmarked",0.0310000000000059
"Dynamic Occupancy","unmarked",0.0299999999999727
"Dynamic Occupancy","unmarked",0.0270000000000437
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","unmarked",0.0269999999999868
"Dynamic Occupancy","JAGS",4.413
"Dynamic Occupancy","JAGS",4.505
"Dynamic Occupancy","JAGS",4.155
"Dynamic Occupancy","JAGS",3.977
"Dynamic Occupancy","JAGS",4.128
"Dynamic Occupancy","JAGS",4.17
"Dynamic Occupancy","JAGS",4.157
"Dynamic Occupancy","JAGS",3.96100000000001
"Dynamic Occupancy","JAGS",4.09200000000001
"Dynamic Occupancy","JAGS",4.082
"Dynamic Occupancy","JAGS",4.087
"Dynamic Occupancy","JAGS",4.129
"Dynamic Occupancy","JAGS",4.15900000000001
"Dynamic Occupancy","JAGS",4.10300000000001
"Dynamic Occupancy","JAGS",4.044
"Dynamic Occupancy","JAGS",3.935
"Dynamic Occupancy","JAGS",4.14100000000001
"Dynamic Occupancy","JAGS",4.10000000000001
"Dynamic Occupancy","JAGS",4.133
"Dynamic Occupancy","JAGS",4
"Dynamic Occupancy","JAGS",4.184
"Dynamic Occupancy","JAGS",4.17
"Dynamic Occupancy","JAGS",4.28099999999999
"Dynamic Occupancy","JAGS",3.996
"Dynamic Occupancy","JAGS",4.127
"Dynamic Occupancy","JAGS",4.13800000000001
"Dynamic Occupancy","JAGS",4.13600000000002
"Dynamic Occupancy","JAGS",4.12899999999999
"Dynamic Occupancy","JAGS",4.11199999999999
"Dynamic Occupancy","JAGS",4.12800000000001
"Dynamic Occupancy","JAGS",4.11500000000001
"Dynamic Occupancy","JAGS",4.10300000000001
"Dynamic Occupancy","JAGS",4.04999999999998
"Dynamic Occupancy","JAGS",4.02500000000001
"Dynamic Occupancy","JAGS",4.26999999999998
"Dynamic Occupancy","JAGS",4.11799999999999
"Dynamic Occupancy","JAGS",3.98400000000001
"Dynamic Occupancy","JAGS",4.02600000000001
"Dynamic Occupancy","JAGS",3.97399999999999
"Dynamic Occupancy","JAGS",3.99600000000001
"Dynamic Occupancy","JAGS",3.97500000000002
"Dynamic Occupancy","JAGS",4.03799999999998
"Dynamic Occupancy","JAGS",3.97800000000001
"Dynamic Occupancy","JAGS",4.06
"Dynamic Occupancy","JAGS",4.02000000000001
"Dynamic Occupancy","JAGS",4.09800000000001
"Dynamic Occupancy","JAGS",4.20899999999997
"Dynamic Occupancy","JAGS",4.041
"Dynamic Occupancy","JAGS",4.00399999999999
"Dynamic Occupancy","JAGS",4.03299999999999
"Dynamic Occupancy","JAGS",4.125
"Dynamic Occupancy","JAGS",4.17699999999999
"Dynamic Occupancy","JAGS",4.05099999999999
"Dynamic Occupancy","JAGS",3.94999999999999
"Dynamic Occupancy","JAGS",4.05799999999999
"Dynamic Occupancy","JAGS",3.94999999999999
"Dynamic Occupancy","JAGS",4.00999999999999
"Dynamic Occupancy","JAGS",3.96800000000002
"Dynamic Occupancy","JAGS",4.01499999999999
"Dynamic Occupancy","JAGS",4.19999999999999
"Dynamic Occupancy","JAGS",4.09999999999997
"Dynamic Occupancy","JAGS",4.04000000000002
"Dynamic Occupancy","JAGS",4.214
"Dynamic Occupancy","JAGS",4.22199999999998
"Dynamic Occupancy","JAGS",4.12200000000001
"Dynamic Occupancy","JAGS",4.10699999999997
"Dynamic Occupancy","JAGS",4.09700000000004
"Dynamic Occupancy","JAGS",4.017
"Dynamic Occupancy","JAGS",4.03100000000001
"Dynamic Occupancy","JAGS",3.95400000000001
"Dynamic Occupancy","JAGS",4.07799999999997
"Dynamic Occupancy","JAGS",3.98000000000002
"Dynamic Occupancy","JAGS",4.07099999999997
"Dynamic Occupancy","JAGS",4.11400000000003
"Dynamic Occupancy","JAGS",4.10899999999998
"Dynamic Occupancy","JAGS",4.01600000000002
"Dynamic Occupancy","JAGS",4.22199999999998
"Dynamic Occupancy","JAGS",4.06199999999995
"Dynamic Occupancy","JAGS",3.995
"Dynamic Occupancy","JAGS",4.09300000000002
"Dynamic Occupancy","JAGS",4.06599999999997
"Dynamic Occupancy","JAGS",4.16200000000003
"Dynamic Occupancy","JAGS",4.02999999999997
"Dynamic Occupancy","JAGS",4.03500000000003
"Dynamic Occupancy","JAGS",3.93399999999997
"Dynamic Occupancy","JAGS",4.12200000000001
"Dynamic Occupancy","JAGS",4.11799999999999
"Dynamic Occupancy","JAGS",4.161
"Dynamic Occupancy","JAGS",4.12899999999996
"Dynamic Occupancy","JAGS",4.05899999999997
"Dynamic Occupancy","JAGS",3.96999999999997
"Dynamic Occupancy","JAGS",4.03800000000001
"Dynamic Occupancy","JAGS",4.084
"Dynamic Occupancy","JAGS",4.05199999999996
"Dynamic Occupancy","JAGS",4.13799999999998
"Dynamic Occupancy","JAGS",4.14599999999996
"Dynamic Occupancy","JAGS",4.05600000000004
"Dynamic Occupancy","JAGS",4.00599999999997
"Dynamic Occupancy","JAGS",4.13299999999998
"Dynamic Occupancy","JAGS",4.01400000000001
"N-mixture","RTMB",0.0410000000000004
"N-mixture","RTMB",0.032
"N-mixture","RTMB",0.0330000000000013
"N-mixture","RTMB",0.0319999999999965
"N-mixture","RTMB",0.0389999999999944
"N-mixture","RTMB",0.0349999999999966
"N-mixture","RTMB",0.0319999999999965
"N-mixture","RTMB",0.032999999999987
"N-mixture","RTMB",0.0360000000000014
"N-mixture","RTMB",0.0319999999999965
"N-mixture","RTMB",0.0349999999999966
"N-mixture","RTMB",0.0330000000000013
"N-mixture","RTMB",0.0319999999999965
"N-mixture","RTMB",0.0340000000000202
"N-mixture","RTMB",0.0370000000000061
"N-mixture","RTMB",0.0339999999999918
